engine,policy_state,series_id,series_label,row_type,june_year,value,value_unit,official_value,movement_vs_origin_main
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2026,1144.54055343658,$m nominal ex GST,1144.54055343658,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2030,1652.12295550638,$m nominal ex GST,1652.12295550638,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2030,1655.80221986912,$m nominal ex GST,1655.80221986912,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2031,1724.93518509883,$m nominal ex GST,1724.93518509883,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2031,1728.76827058322,$m nominal ex GST,1728.76827058322,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2050,2523.10499503596,$m nominal ex GST,2523.10499503596,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2050,2523.66467951243,$m nominal ex GST,2523.66467951243,0
ensemble,cur-published__off-published,light_petrol_vkt,Light petrol VKT,future_forecast,2026,33085.33429827859,million km,,0
ensemble,cur-published__off-published,light_petrol_vkt,Light petrol VKT,future_forecast,2026,33120.38975705886,million km,,0
ensemble,cur-published__off-published,light_petrol_vkt,Light petrol VKT,future_forecast,2026,32838.87680402283,million km,,0
ensemble,cur-published__off-published,light_petrol_vkt,Light petrol VKT,future_forecast,2030,34290.154354466984,million km,,0
ensemble,cur-published__off-published,light_petrol_vkt,Light petrol VKT,future_forecast,2030,35184.106158179275,million km,,0
ensemble,cur-published__off-published,light_petrol_vkt,Light petrol VKT,future_forecast,2030,34202.908928444784,million km,,0
ensemble,cur-published__off-published,light_petrol_vkt,Light petrol VKT,future_forecast,2031,34543.478008938844,million km,,0
ensemble,cur-published__off-published,light_petrol_vkt,Light petrol VKT,future_forecast,2031,35684.17280163522,million km,,0
ensemble,cur-published__off-published,light_petrol_vkt,Light petrol VKT,future_forecast,2050,10007.869789968407,million km,,0
